time [s],phi [rad],torque [Nm],torque_comp [Nm],emg_quad [mV],emg_hams [mV],phase
4.602,4.602,0.8231027126312256,0.2605844637363188,0.2279286353313282,0.2596679860991519,e
4.603,4.603,0.099604532122612,0.0736735565555669,0.22728474189244027,0.25468079883087785,e
4.604,4.604,0.001811891794204712,0.42250926471347505,0.23118198050907202,0.25756658943527694,e
4.605,4.605,-0.20631274580955505,0.7380157091165463,0.23093940092722678,0.26316612640270726,e
4.606,4.606,-1.1875600814819336,0.39319198838927494,0.22227101759195383,0.25579187738611453,e
4.607,4.607,-1.6534188985824585,0.4252264117076429,0.20766392894067354,0.23945013253455436,e
4.608,4.608,-1.6228140592575073,0.25888390124248245,0.21816660271588487,0.2384458220630442,e
4.609,4.609,-0.08257869631052017,0.7817669968689481,0.2212634129317374,0.24765358212185165,e
4.61,4.61,-0.38311412930488586,0.6555176541370069,0.22727941264259996,0.2512379093216027,e
4.611,4.611,-1.6409132480621338,0.7719681624538064,0.2268653842067121,0.2589729929864008,e
4.612,4.612,-2.2731802463531494,0.4552065611149692,0.22704252440114583,0.2603897898750275,e
4.613,4.613,-1.5617080926895142,0.3531426985503363,0.21971743011861822,0.2551878027460905,e
4.614,4.614,-1.1446181535720825,0.25257511768034036,0.21586137223898286,0.2581715642195928,e
4.615,4.615,-1.0774861574172974,0.6197866173912304,0.21625591796067736,0.2534011500507018,e
4.616,4.616,-0.9370526671409607,0.2987068525786565,0.23088171483275988,0.26398059552630154,e
4.617,4.617,-0.28082066774368286,0.33799838630085793,0.24083976390545456,0.28399161414934515,e
4.618,4.618,-0.7663207650184631,-0.02053321988242366,0.24059510266135212,0.27104445748176015,e
4.619,4.619,-0.5155592560768127,0.12227478423245795,0.2355003839231572,0.27351924326559635,e
4.62,4.62,-0.0625981017947197,-0.04522535340014827,0.23191087513926015,0.2652239821946054,e
4.621,4.621,0.0591457262635231,0.40440531378267025,0.22334219404936131,0.25780649102198133,e
4.622,4.622,-1.163156270980835,0.579781213669814,0.22862053398220586,0.25875899077141973,e
4.623,4.623,-1.2258366346359253,0.4180389349843882,0.22799526742581375,0.2587448095967944,e
4.624,4.624,-0.6811412572860718,0.011014311129309853,0.2333849513665204,0.2626710856542409,e
4.625,4.625,-0.2833818197250366,-0.0690567346827398,0.2337187039718696,0.2639723807800074,e
4.626,4.626,-0.5303600430488586,0.1747122938407968,0.2228287948376799,0.25317522145851934,e
4.627,4.627,0.2531557083129883,0.6934942962134056,0.21081719238978375,0.24569539485950767,e
4.628,4.628,1.0736275911331177,0.6655347082882864,0.21681388878479085,0.24393183484878372,e
4.629,4.629,0.10828965902328491,0.010809910374444814,0.22140320619254353,0.2474606067447569,e
4.63,4.63,-0.6731793880462646,-0.03600559912942337,0.22858461901252908,0.25479818600614873,e
4.631,4.631,-0.47892460227012634,0.339671726423615,0.22435992456965842,0.2540187392889637,e
4.632,4.632,-0.7634445428848267,0.4051824423088615,0.22492866434936457,0.26166407706287215,e
4.633,4.633,-0.8085407614707947,0.230927776512577,0.21981323522469512,0.25589148363516256,e
4.634,4.634,-0.6148386597633362,0.0067745764983208195,0.21730391140186633,0.2586431576174258,e
4.635,4.635,0.24172158539295197,0.2624338002034153,0.21693495100767596,0.26162328054735096,e
4.636,4.636,-0.356181263923645,0.30002806088728023,0.23204870238561007,0.2672127467096105,e
4.637,4.637,-0.788465142250061,0.26319270091955926,0.24496602052957472,0.2829573715470135,e
4.638,4.638,-0.5769270062446594,0.3078980599369003,0.23989032778278463,0.27071102252166146,e
4.639,4.639,0.13181990385055542,0.28327199985481094,0.23091345096041987,0.26933887925380906,e
4.64,4.64,-0.3742881119251251,0.11331730738844842,0.22859388997584423,0.2620393991736636,e
4.641,4.641,-1.7273855209350586,-0.17414349429554363,0.2278879930139141,0.26172492734006536,e
4.642,4.642,-1.4608768224716187,-0.06387558636232857,0.22896961965445858,0.26498609352386454,e
4.643,4.643,-0.31078553199768066,0.27538557412243037,0.23219080024071925,0.2595852576384229,e
4.644,4.644,-0.3387333154678345,0.04561459748240865,0.23723185819861678,0.2591637506743059,e
4.645,4.645,-1.4347031116485596,-0.35049201919629497,0.23954716645219903,0.2617530205974936,e
4.646,4.646,-1.3343440294265747,-0.19231241611831298,0.2227863431492707,0.252776878569871,e
4.647,4.647,-1.399671196937561,0.10741593116785805,0.2092938967661772,0.23861167285385862,e
4.648,4.648,-1.6675077676773071,0.11677299994729928,0.21361413386079853,0.2475966120495549,e
4.649,4.649,-1.5305804014205933,-0.03199440949996802,0.21605122720499345,0.24575816559517377,e
4.65,4.65,-0.8044567704200745,-0.06263154725818014,0.22162679744121844,0.2527172380599578,e
4.651,4.651,-1.0539166927337646,-0.16156337851984146,0.22505563120971078,0.2586728111172996,e
4.652,4.652,-1.5983227491378784,-0.23248799715394228,0.22472035124003642,0.2598627059196714,e
4.653,4.653,-1.2961753606796265,-0.36413659879341387,0.22370419574145095,0.25596889211971696,e
4.654,4.654,-0.589046835899353,-0.43627973119927904,0.220440851764143,0.2542111095452246,e
4.655,4.655,-0.8020569086074829,0.000311495814616491,0.2191502816152176,0.2588686789685322,e
4.656,4.656,-1.6415202617645264,-0.08184200780085399,0.23236626362751303,0.2651009041996467,e
4.657,4.657,-0.9899606704711914,0.18507062084992348,0.24631279187364807,0.28487636978615016,e
4.658,4.658,0.7110605835914612,0.28228161879987107,0.2372273168217538,0.27533001372421223,e
4.659,4.659,1.1419316530227661,-0.09990988976581876,0.23206316095702412,0.2666690162410151,e
4.66,4.66,1.2411081790924072,-0.12895198010426434,0.22595847520229242,0.2646384550893868,e
4.661,4.661,1.376792550086975,-0.06281749839954368,0.23057660444820613,0.2545734072106376,e
4.662,4.662,1.2362371683120728,0.08125212337553119,0.2295755517805744,0.2615843390852357,e
4.663,4.663,0.5064758658409119,-0.09152647697008424,0.23253633972784998,0.26179595947230644,e
4.664,4.664,-0.11298500001430511,-0.4255410277301244,0.2315185399823928,0.257161681836641,e
4.665,4.665,0.040603965520858765,-0.3253669563556106,0.23284093721753052,0.26312602743230395,e
4.666,4.666,-0.6711466312408447,-0.14024187367151758,0.22093654294116233,0.2531902719072616,e
4.667,4.667,-1.6223887205123901,-0.22921749206363193,0.21003436813398377,0.2361763172954642,e
4.668,4.668,-1.874229073524475,-0.48224381678367595,0.21348351841230606,0.2456689560768768,e
4.669,4.669,-1.5370186567306519,-0.504229821205557,0.2218156868630406,0.25037476947296267,e
4.67,4.67,-1.8255057334899902,-0.6504807161380072,0.22293272582539114,0.25553202254764906,e
4.671,4.671,-2.8691954612731934,-0.4030450906241499,0.2254757406337358,0.2546412475350918,e
4.672,4.672,-2.4953606128692627,-0.22900876322676103,0.22444594562467585,0.2632534770498979,e
4.673,4.673,-1.937699317932129,-0.37153306668003566,0.22303034100473237,0.26036524067450517,e
4.674,4.674,-1.8032675981521606,-0.4206284234410436,0.21413423236330803,0.25307324636372885,e
4.675,4.675,-2.3685925006866455,-0.44572702650098567,0.21559277960499917,0.25660049991261286,e
4.676,4.676,-2.2529330253601074,-0.5850794938178785,0.22700928493237774,0.26603774679309805,e
4.677,4.677,-1.8427661657333374,-0.5363221120758959,0.24341214629033492,0.27858920793795366,e
4.678,4.678,-1.708790898323059,-0.632956671730446,0.23812384694420358,0.27818939626960554,e
4.679,4.679,-1.1886881589889526,-0.6909468853279727,0.23562783277134908,0.27335177689793816,e
4.68,4.68,-0.02404167503118515,-0.09966325595186172,0.23004865511442202,0.2673427392685381,e
4.681,4.681,-0.7556439638137817,-0.18009921007357715,0.22639980624968137,0.2606799422409956,e
4.682,4.682,-1.9478251934051514,-0.4722608909048679,0.22630003282945932,0.2624267612328417,e
4.683,4.683,-1.2991557121276855,-0.5677944985646485,0.22939939769522114,0.26357572981616834,e
4.684,4.684,-0.6135218143463135,-0.7388132033712712,0.22949173057178696,0.2598470543128354,e
4.685,4.685,-0.9772589206695557,-0.3480253087189177,0.23318223691244064,0.2652023586900933,e
4.686,4.686,-1.5439091920852661,-0.24893828715375513,0.22171444126334192,0.25379079891151807,e
4.687,4.687,-1.04318368434906,-0.4395457120116999,0.21166551758579943,0.24303205341617315,e
4.688,4.688,0.4888276755809784,-0.09954595073589097,0.21438681449327948,0.25139460464933044,e
4.689,4.689,0.10609155893325806,-0.5500942695012241,0.2223944006410407,0.24963209627536873,e
4.69,4.69,-0.2953549921512604,-0.7960008814134593,0.22502161615269178,0.2579676102233113,e
4.691,4.691,0.24210526049137115,-0.46307293655699494,0.22641159695838492,0.2602735787660103,e
4.692,4.692,0.15351755917072296,-0.3576682086501224,0.2248405504400694,0.25528049380844087,e
4.693,4.693,-0.1011483445763588,-0.3328272301393619,0.22266480657244744,0.2600761810479361,e
4.694,4.694,-0.3743375241756439,-0.4508445122054552,0.21572127542727978,0.25558744937287703,e
4.695,4.695,-0.7395334839820862,-0.6599946428035772,0.21623211343056684,0.2570200614538139,e
4.696,4.696,-1.5096482038497925,-0.7010954345309163,0.22830881909028664,0.2683672884322738,e
4.697,4.697,-2.2988176345825195,-0.6602775734170455,0.24618252842107763,0.2801681698103013,e
4.698,4.698,-1.2836989164352417,-0.27320046925369595,0.2396598583940039,0.2706830137796266,e
4.699,4.699,-0.3790622353553772,-0.2796882627570718,0.23385269269865328,0.27290866763780364,e
4.7,4.7,-1.205000400543213,-0.6617702120438954,0.22525842290638728,0.26059955846332294,e
4.701,4.701,-1.5337820053100586,-0.17703119773052955,0.2239683054715936,0.261753183749224,e
4.702,4.702,-1.642228126525879,-0.4698661890824729,0.22439929155010854,0.2610519435248697,e
4.703,4.703,-0.4803191125392914,-0.34819108676831034,0.23103617663783668,0.26080862668629273,e
4.704,4.704,-0.5702983140945435,-0.36207983206151334,0.23494492597594996,0.26445594253064747,e
4.705,4.705,-1.194388747215271,-0.33790494910986096,0.23890231168038992,0.25917196774868867,e
4.706,4.706,-0.9349173307418823,-0.41506751291358057,0.22278803463000532,0.25372630731140194,e
4.707,4.707,-1.2463209629058838,-0.7522250458883099,0.2107365900804274,0.2413987338720832,e
4.708,4.708,-0.4530927240848541,-0.2659299874865856,0.2124329421102616,0.24339019022961028,e
4.709,4.709,-0.19413135945796967,-0.004355273099659669,0.218023217120566,0.25144812729695254,e
4.71,4.71,-0.06391122937202454,-0.17511727913699268,0.22111711391104616,0.25591721225373687,e
4.711,4.711,-1.2594640254974365,-0.3882724345096653,0.22291178486874694,0.25520814842561557,e
